ACCTNUMBER,INSTITUTIONID,DECISIONFILETIMESTAMP,NONTRIVIALPAYMENTSIZETHRESHOLD1,NONTRIVIALPAYMENTSIZETHRESHOLD2,BUSINESSDAYSHELDIFPAYMENTRISKLOW,BUSINESSDAYSHELDIFPAYMENTRISKMEDIUM,BUSINESSDAYSHELDIFPAYMENTRISKHIGH,BUSINESSDAYSHELDIFPAYMENTRISKVERYHIGH,INTRADAYPAYMENTTHRESHOLD1,INTRADAYPAYMENTTHRESHOLD2,INTRADAYPAYMENTTHRESHOLD3,INTRADAYPAYMENTTHRESHOLD4,INTRADAYATTEMPTEDSPENDTHRESHOLD1,INTRADAYATTEMPTEDSPENDTHRESHOLD2,RIPTHRESHOLD1,RISKSCORE,ACHBANKACCOUNTTHRESHOLD,VIPFLAG,TESTFLAG,POLICYVERSION,POLICYSUBVERSION,ModelScoreThreshold1,ModelScoreThreshold2,ModelScoreThreshold3,ModelScoreThreshold4,ModelScoreThreshold5
1100001000001722,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000001763,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000001706,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000001730,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000001714,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000001755,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000001698,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000001748,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000001771,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000001789,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000001805,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000001839,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000001821,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000001813,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000001847,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000001797,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000001870,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000001854,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000001912,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000001920,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000001862,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000001888,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000001904,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000001896,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000001946,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000001938,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000001961,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000001953,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000002027,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000002001,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000001995,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000001987,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000001979,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000002035,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000002043,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000002019,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000002084,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000002092,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000002050,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000002068,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000002126,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000002100,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000002118,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000002142,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000002134,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000002076,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000002167,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000002175,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000002217,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000002159,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000002191,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
