ACCTNUMBER,InstitutionID,DECISIONFILETIMESTAMP,NONTRIVIALPAYMENTSIZETHRESHOLD1,NONTRIVIALPAYMENTSIZETHRESHOLD2,BUSINESSDAYSHELDIFPAYMENTRISKLOW,BUSINESSDAYSHELDIFPAYMENTRISKMEDIUM,BUSINESSDAYSHELDIFPAYMENTRISKHIGH,BUSINESSDAYSHELDIFPAYMENTRISKVERYHIGH,INTRADAYPAYMENTTHRESHOLD1,INTRADAYPAYMENTTHRESHOLD2,INTRADAYPAYMENTTHRESHOLD3,INTRADAYPAYMENTTHRESHOLD4,INTRADAYATTEMPTEDSPENDTHRESHOLD1,INTRADAYATTEMPTEDSPENDTHRESHOLD2,RIPTHRESHOLD1,RISKSCORE,ACHBANKACCOUNTTHRESHOLD,VIPFLAG,TESTFLAG,POLICYVERSION,POLICYSUBVERSION
1100000100200010,6977,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100000100200028,6977,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100000100200036,6977,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100000100200044,6977,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100000100200051,6977,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100000100200069,6977,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100000100200077,6977,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100000100200085,6977,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100000100200093,6977,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100000100200101,6977,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100000100200119,6977,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100000100200127,6977,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100000100200135,6977,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100000100200143,6977,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100000100200150,6977,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100000100200168,6977,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100000100200176,6977,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100000100200184,6977,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100000100200192,6977,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100000100200200,6977,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100000100200218,6977,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100000100200226,6977,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100000100200234,6977,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000000005,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000000013,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
